source,attack,model,ASR
VGG,FGSM,VGG,79.82
VGG,PGD,VGG,79.56
VGG,CW,VGG,79.86
VGG,AutoAttack,VGG,79.94
VGG,DeepFool,VGG,79.8
VGG,OnePixel,VGG,79.81
VGG,FGSM,VGG_AA,79.31
VGG,PGD,VGG_AA,79.03
VGG,CW,VGG_AA,79.14
VGG,AutoAttack,VGG_AA,79.27
VGG,DeepFool,VGG_AA,79.1
VGG,OnePixel,VGG_AA,79.09
VGG,FGSM,VGG_CW,79.83
VGG,PGD,VGG_CW,79.62
VGG,CW,VGG_CW,79.8
VGG,AutoAttack,VGG_CW,79.87
VGG,DeepFool,VGG_CW,79.76
VGG,OnePixel,VGG_CW,79.77
VGG,FGSM,ResNet,83.85
VGG,PGD,ResNet,83.47
VGG,CW,ResNet,83.77
VGG,AutoAttack,ResNet,83.72
VGG,DeepFool,ResNet,83.72
VGG,OnePixel,ResNet,83.72
VGG,FGSM,ResNet_AA,83.2
VGG,PGD,ResNet_AA,82.88
VGG,CW,ResNet_AA,83.18
VGG,AutoAttack,ResNet_AA,83.03
VGG,DeepFool,ResNet_AA,83.13
VGG,OnePixel,ResNet_AA,83.16
VGG,FGSM,ResNet_CW,83.68
VGG,PGD,ResNet_CW,83.28
VGG,CW,ResNet_CW,83.56
VGG,AutoAttack,ResNet_CW,83.65
VGG,DeepFool,ResNet_CW,83.54
VGG,OnePixel,ResNet_CW,83.57
ResNet,FGSM,VGG,79.69
ResNet,PGD,VGG,79.71
ResNet,CW,VGG,79.9
ResNet,AutoAttack,VGG,79.9
ResNet,DeepFool,VGG,79.85
ResNet,OnePixel,VGG,79.81
ResNet,FGSM,VGG_AA,79.02
ResNet,PGD,VGG_AA,79.43
ResNet,CW,VGG_AA,79.18
ResNet,AutoAttack,VGG_AA,79.4
ResNet,DeepFool,VGG_AA,79.13
ResNet,OnePixel,VGG_AA,79.1
ResNet,FGSM,VGG_CW,79.53
ResNet,PGD,VGG_CW,79.57
ResNet,CW,VGG_CW,79.82
ResNet,AutoAttack,VGG_CW,79.66
ResNet,DeepFool,VGG_CW,79.78
ResNet,OnePixel,VGG_CW,79.76
ResNet,FGSM,ResNet,83.66
ResNet,PGD,ResNet,83.54
ResNet,CW,ResNet,83.8
ResNet,AutoAttack,ResNet,83.68
ResNet,DeepFool,ResNet,83.75
ResNet,OnePixel,ResNet,83.69
ResNet,FGSM,ResNet_AA,82.95
ResNet,PGD,ResNet_AA,82.88
ResNet,CW,ResNet_AA,83.23
ResNet,AutoAttack,ResNet_AA,82.95
ResNet,DeepFool,ResNet_AA,83.19
ResNet,OnePixel,ResNet_AA,83.17
ResNet,FGSM,ResNet_CW,83.55
ResNet,PGD,ResNet_CW,83.39
ResNet,CW,ResNet_CW,83.67
ResNet,AutoAttack,ResNet_CW,83.57
ResNet,DeepFool,ResNet_CW,83.58
ResNet,OnePixel,ResNet_CW,83.53
